Name	Position	Preferred foot	Nation	League	Team	Gender
Kim Min Jae	CB	Right	Korea Republic	Bundesliga	FC Bayern München	Male
Ibrahima Konaté	CB	Right	France	Premier League	Liverpool	Male
Teun Koopmeiners	CM	Left	Holland	Serie A Enilive	Juventus	Male
Mateo Kovačić	CM	Right	Croatia	Premier League	Manchester City	Male
Konrad Laimer	CDM	Right	Austria	Bundesliga	FC Bayern München	Male
Aymeric Laporte	CB	Left	Spain	ROSHN Saudi League	Al Nassr	Male
Robin Le Normand	CB	Right	Spain	LALIGA EA SPORTS	Atlético de Madrid	Male
Marcos Llorente	RM	Right	Spain	LALIGA EA SPORTS	Atlético de Madrid	Male
Manuel Locatelli	CDM	Right	Italy	Serie A Enilive	Juventus	Male
Donyell Malen	RM	Right	Holland	Bundesliga	Borussia Dortmund	Male
Gabriel Martinelli	LW	Right	Brazil	Premier League	Arsenal	Male
Henrikh Mkhitaryan	CM	Right	Armenia	Serie A Enilive	Lombardia FC	Male
Morata	ST	Right	Spain	Serie A Enilive	Milano FC	Male
Gerard Moreno	ST	Left	Spain	LALIGA EA SPORTS	Villarreal CF	Male
André Onana	GK	Right	Cameroon	Premier League	Man Utd	Male
Willi Orban	CB	Right	Hungary	Bundesliga	RB Leipzig	Male
Gavi	CM	Right	Spain	LALIGA EA SPORTS	FC Barcelona	Male
Parejo	CM	Right	Spain	LALIGA EA SPORTS	Villarreal CF	Male
Lorenzo Pellegrini	CAM	Right	Italy	Serie A Enilive	AS Roma	Male
Pedro Gonçalves	LW	Right	Portugal	Liga Portugal	Sporting CP	Male
Jordan Pickford	GK	Left	England	Premier League	Everton	Male
Nick Pope	GK	Right	England	Premier League	Newcastle Utd	Male
Pedro Porro	RB	Right	Spain	Premier League	Spurs	Male
Ivan Provedel	GK	Right	Italy	Serie A Enilive	Latium	Male
Christian Pulisic	RW	Right	United States	Serie A Enilive	Milano FC	Male
David Raya	GK	Right	Spain	Premier League	Arsenal	Male
Koke	CDM	Right	Spain	LALIGA EA SPORTS	Atlético de Madrid	Male
Guido Rodríguez	CDM	Right	Argentina	Premier League	West Ham	Male
Alessio Romagnoli	CB	Left	Italy	Serie A Enilive	Latium	Male
Xavi Simons	CAM	Right	Holland	Bundesliga	RB Leipzig	Male
Douglas Luiz	CM	Right	Brazil	Serie A Enilive	Juventus	Male
Dušan Tadić	LM	Left	Serbia	Trendyol Süper Lig	Fenerbahçe	Male
Edmond Tapsoba	CB	Right	Burkina Faso	Bundesliga	Leverkusen	Male
Nuno Mendes	LB	Left	Portugal	Ligue 1 McDonald's	Paris SG	Male
Marcus Thuram	ST	Right	France	Serie A Enilive	Lombardia FC	Male
Fikayo Tomori	CB	Right	England	Serie A Enilive	Milano FC	Male
Lucas Torreira	CDM	Right	Uruguay	Trendyol Süper Lig	Galatasaray	Male
Kieran Trippier	RB	Right	England	Premier League	Newcastle Utd	Male
Leandro Trossard	LW	Right	Belgium	Premier League	Arsenal	Male
Viktor Tsygankov	RM	Left	Ukraine	LALIGA EA SPORTS	Girona FC	Male
Mattia Zaccagni	LW	Right	Italy	Serie A Enilive	Latium	Male
Duván Zapata	ST	Right	Colombia	Serie A Enilive	Torino	Male
Isco	CAM	Right	Spain	LALIGA EA SPORTS	Real Betis	Male
Joelinton	CM	Right	Brazil	Premier League	Newcastle Utd	Male
Pepê	CAM	Right	Brazil	Liga Portugal	FC Porto	Male
Pierre-Emerick Aubameyang	ST	Right	Gabon	ROSHN Saudi League	Al Qadisiyah	Male
Leon Bailey	RM	Left	Jamaica	Premier League	Aston Villa	Male
Oliver Baumann	GK	Right	Germany	Bundesliga	TSG Hoffenheim	Male
Victor Boniface	ST	Right	Nigeria	Bundesliga	Leverkusen	Male
Sven Botman	CB	Left	Holland	Premier League	Newcastle Utd	Male
