Name	Position	Preferred foot	Nation	League	Team	Gender
Daniel Rivas	LB	Left	Paraguay	Sudamericana	Club Nacional	Male
Maxence Rivera	LM	Right	France	Ligue 2 BKT	USL Dunkerque	Male
Brian Araújo	GK	Right	Portugal	Liga Portugal	Gil Vicente	Male
Mauro Rodrigues	RM	Right	Guinea-Bissau	CSSL	Yverdon Sport FC	Male
Steven Rodríguez	ST	Right	Colombia	Libertadores	Junior	Male
Nicklas Røjkjær	CM	Right	Denmark	Allsvenskan	Mjällby AIF	Male
Diego Alonso Romero	GK	Right	Peru	Libertadores	Universitario	Male
Anthony Roncaglia	CB	Right	France	Ligue 2 BKT	SC Bastia	Male
Shaun Rooney	RB	Right	Scotland	Scottish Prem	St. Mirren	Male
Joseph Rosales	LB	Left	Honduras	MLS	Minnesota United	Male
Ricardo Rosales	RB	Right	Colombia	Libertadores	Millonarios	Male
Linus Rosenlöcher	LB	Left	Germany	3. Liga	FC Erzgebirge Aue	Male
Maciej Rosołek	ST	Right	Poland	PKO BP Ekstraklasa	Piast Gliwice	Male
Sigurd Rosted	CB	Right	Norway	MLS	Toronto FC	Male
Sean Roughan	CB	Left	Republic of Ireland	EFL League One	Lincoln City	Male
Storm Roux	RB	Right	New Zealand	A-League	Central Coast	Male
Manel Royo	LB	Left	Spain	Eredivisie	NAC Breda	Male
Josh Ruffels	LB	Left	England	EFL League One	Huddersfield	Male
Emerson Ruiz	CDM	Right	Venezuela	Sudamericana	Metropolitanos	Male
David Ruiz	CM	Right	Honduras	MLS	Inter Miami CF	Male
Isma Ruiz	CM	Right	Spain	LALIGA HYPERMOTION	Córdoba CF	Male
Jan-Luca Rumpf	CB	Right	Germany	3. Liga	Aleman. Aachen	Male
Jon Russell	CM	Right	Jamaica	EFL League One	Barnsley	Male
Stefano Russo	CDM	Right	Germany	3. Liga	Arminia Bielefeld	Male
Denis Rusu	GK	Right	Moldova	SUPERLIGA	Unirea Slobozia	Male
Gilles Ruyssen	CB	Right	Belgium	1A Pro League	FCV Dender EH	Male
Halid Šabanović	RB	Right	Bosnia and Herzegovina	Ligue 1 McDonald's	Angers SCO	Male
Malkolm Nilsson Säfqvist	GK	Right	Sweden	Allsvenskan	Djurgårdens IF	Male
Jesús Sagredo	CB	Right	Bolivia	Libertadores	Bolívar	Male
Hakim Sahabo	CDM	Right	Rwanda	1A Pro League	Standard Liège	Male
Àlex Sala	CDM	Right	Spain	LALIGA HYPERMOTION	Córdoba CF	Male
Felipe Salomoni	LB	Left	Argentina	Sudamericana	Guaraní	Male
Chuki	CAM	Left	Spain	LALIGA EA SPORTS	R. Valladolid CF	Male
Mateo Sanabria	LM	Right	Argentina	United Emirates League	Al Ain FC	Male
Josema	CB	Left	Spain	PKO BP Ekstraklasa	Górnik Zabrze	Male
Mads Sande	RW	Right	Norway	Eliteserien	SK Brann	Male
Mohamed Sankoh	ST	Right	Holland	Serie BKT	Cosenza	Male
Yellu Santiago	CDM	Right	Spain	LALIGA EA SPORTS	Getafe CF	Male
Gonçalo Sousa	RM	Left	Portugal	Liga Portugal	FC Porto	Male
Facundo Saravia	LB	Left	Uruguay	Sudamericana	Danubio	Male
Murat Şatin	CAM	Right	Austria	Ö. Bundesliga	Grazer AK	Male
Charlie Savage	CDM	Left	Wales	EFL League One	Reading	Male
Dane Scarlett	ST	Right	England	EFL Championship	Oxford United	Male
Rodrigo Schlegel	CB	Right	Argentina	MLS	Orlando City	Male
Leon Schneider	CB	Right	Germany	3. Liga	Arminia Bielefeld	Male
Oscar Schönfelder	RM	Left	Germany	Bundesliga 2	Jahn Regensburg	Male
Fabian Schubert	ST	Right	Austria	3. Liga	1860 München	Male
Pascal Schürpf	LM	Left	Switzerland	CSSL	GC Zürich	Male
Anthony Scully	LM	Right	Republic of Ireland	EFL League Two	Colchester	Male
Edson Seidou	LB	Left	France	Ligue 2 BKT	Laval MFC	Male
Moritz Seiffert	LB	Left	Germany	3. Liga	FC Ingolstadt 04	Male
Amar Sejdič	CM	Right	Germany	MLS	Nashville SC	Male
Nikola Sekulov	CAM	Right	Italy	Serie BKT	Sampdoria	Male
Vahid Selimović	CB	Right	Luxembourg	SUPERLIGA	FC Hermannstadt	Male
Malik Sellouki	RM	Left	France	Ligue 2 BKT	Laval MFC	Male
Joel Senior	RB	Right	England	EFL League One	Bristol Rovers	Male
João Rêgo	CAM	Right	Portugal	Liga Portugal	SL Benfica	Male
Nelson Sepúlveda	CM	Right	Chile	Libertadores	Cobresal	Male
Femi Seriki	RB	Right	England	EFL Championship	Sheffield Utd	Male
Zidan Sertdemir	CM	Left	Denmark	3F Superliga	FC Nordsjælland	Male
Brandon Servania	CDM	Right	United States	MLS	Toronto FC	Male
Lorenzo Sgarbi	ST	Right	Italy	Serie BKT	Bari	Male
Noah Shamoun	LM	Right	Syria	3F Superliga	Randers FC	Male
Aimar Sher	CDM	Right	Sweden	Eliteserien	Sarpsborg 08	Male
Nick Shinton	GK	Left	Belgium	1A Pro League	K. Beerschot VA	Male
Silvan Sidler	RB	Right	Switzerland	CSSL	FC Winterthur	Male
Omar Sijarić	RM	Right	Montenegro	3. Liga	FC Erzgebirge Aue	Male
Gard Simenstad	RM	Right	Norway	Eliteserien	HamKam Fotball	Male
Xavier Simons	CDM	Right	England	EFL Championship	Hull City	Male
Gurpreet Singh Sandhu	GK	Right	India	ISL	Bengaluru FC	Male
Dan Sîrbu	RB	Right	Romania	SUPERLIGA	Farul Constanța	Male
Javi Siverio	ST	Right	Spain	ISL	Jamshedpur FC	Male
Rasmus Sjöstedt	CB	Right	Sweden	Allsvenskan	Kalmar FF	Male
Jack Skahan	CM	Right	United States	MLS	SJ Earthquakes	Male
Andreas Skovgaard	CB	Left	Denmark	PKO BP Ekstraklasa	Cracovia	Male
Naatan Skyttä	CM	Left	Finland	Ligue 2 BKT	USL Dunkerque	Male
Richard Smallwood	CM	Right	England	EFL League Two	Bradford City	Male
Kees Smit	CM	Right	Holland	Eredivisie	AZ	Male
Brad Smith	LM	Left	Australia	MLS	Houston Dynamo	Male
Matt Smith	CM	Right	Wales	Scottish Prem	St. Johnstone	Male
Nathan Smith	CB	Right	England	EFL League Two	Port Vale	Male
Matthew Smith	CM	Right	England	EFL League One	Wigan Athletic	Male
Oskar Snorre	GK	Right	Denmark	3F Superliga	Randers FC	Male
Mads Søndergaard	CM	Right	Denmark	3F Superliga	Viborg FF	Male
Elias Sørensen	ST	Right	Denmark	EFL Championship	Portsmouth	Male
Matthew Sorinola	LB	Right	England	EFL Championship	Plymouth Argyle	Male
Bent Sørmo	CB	Right	Norway	Eliteserien	Strømsgodset IF	Male
Alessandro Sorrentino	GK	Right	Italy	Serie BKT	Frosinone	Male
Lucas Soto	CM	Right	Chile	Libertadores	Colo-Colo	Male
Gabriel Sotomayor	LM	Left	Bolivia	Libertadores	The Strongest	Male
Hamjatou Soukouna	CB	Left	France	Ligue 2 BKT	FC Annecy	Male
Vasilios Sourlis	CM	Right	Greece	PKO BP Ekstraklasa	Raków	Male
Rafael Brito	CM	Right	Portugal	Liga Portugal	Casa Pia AC	Male
Noé Sow	CB	Right	France	CSSL	FC Sion	Male
Avdo Spahić	GK	Right	Bosnia and Herzegovina	Bundesliga 2	Kaiserslautern	Male
Alex Sposito	GK	Left	Italy	Serie BKT	Reggiana	Male
Isak Ssewankambo	CB	Right	Sweden	Allsvenskan	IFK Norrköping	Male
Daniel Steres	LB	Right	United States	MLS	Houston Dynamo	Male
Filip Stevanović	LW	Right	Serbia	Premier League	Manchester City	Male
Mathew Stevens	ST	Right	England	EFL League Two	AFC Wimbledon	Male
Jakub Stolarczyk	GK	Right	Poland	Premier League	Leicester City	Male
Peter Stroud	CDM	Right	United States	MLS	Red Bulls	Male
Sasa Strujic	LB	Left	Bosnia and Herzegovina	3. Liga	Aleman. Aachen	Male
Sam Stubbs	CB	Right	England	EFL League Two	Cheltenham Town	Male
Filip Stuparević	ST	Left	Serbia	Scottish Prem	Motherwell	Male
Ian Subiabre	LW	Left	Argentina	Libertadores	River Plate	Male
Israel Suero Fernández	CAM	Left	Spain	LALIGA HYPERMOTION	CD Castellón	Male
Martin Šviderský	CDM	Left	Slovakia	LALIGA HYPERMOTION	UD Almería	Male
Ryan Sweeney	CB	Left	Republic of Ireland	EFL League One	Burton Albion	Male
Pierce Sweeney	CB	Right	Republic of Ireland	EFL League One	Exeter City	Male
Dembo Sylla	RB	Right	Guinea	1A Pro League	FCV Dender EH	Male
Miłosz Szczepański	CAM	Right	Poland	PKO BP Ekstraklasa	Piast Gliwice	Male
Michał Szromnik	GK	Left	Poland	PKO BP Ekstraklasa	Górnik Zabrze	Male
Tomoki Takamine	CDM	Left	Japan	1A Pro League	KV Kortrijk	Male
Callum Talbot	RB	Right	Australia	A-League	Melbourne City	Male
Atomu Tanaka	CAM	Right	Japan	Finnliiga	HJK Helsinki	Male
Adil Taoui	LM	Right	France	Ö. Bundesliga	LASK	Male
Borys Tashchy	CAM	Right	Ukraine	3. Liga	FC Erzgebirge Aue	Male
Lyle Taylor	ST	Right	Montserrat	EFL League Two	Colchester	Male
Allan Tchaptchet	CB	Right	France	Ligue 2 BKT	Grenoble Foot 38	Male
Iuri Tavares	LW	Right	Cape Verde Islands	MLS	Charlotte FC	Male
Armend Thaqi	RB	Right	Kosovo	SUPERLIGA	CFR 1907 Cluj	Male
Peter Therkildsen	RB	Right	Denmark	Allsvenskan	Djurgårdens IF	Male
George Thomas	CAM	Right	Wales	EFL League One	Cambridge Utd	Male
Terell Thomas	CB	Right	St. Lucia	EFL League Two	Carlisle United	Male
Titouan Thomas	CM	Right	France	Ligue 2 BKT	Laval MFC	Male
Jens Jakob Thomasen	CM	Right	Denmark	Allsvenskan	IF Elfsborg	Male
Ben Thompson	CM	Right	England	EFL League Two	Bromley FC	Male
Nathan Thompson	CB	Right	England	EFL League One	Stevenage	Male
Louis Thompson	CM	Right	Wales	EFL League One	Stevenage	Male
Liam Thompson	CDM	Right	England	EFL Championship	Derby County	Male
Dagur Dan Þór­halls­son	RB	Right	Iceland	MLS	Orlando City	Male
James Tilley	RM	Left	England	EFL League Two	AFC Wimbledon	Male
Alex Timossi Andersson	RM	Right	Sweden	Allsvenskan	Brommapojkarna	Male
Nathan Tjoe-A-On	LB	Left	Indonesia	EFL Championship	Swansea City	Male
Kacper Tobiasz	GK	Left	Poland	PKO BP Ekstraklasa	Legia Warszawa	Male
Constantin Toma	LB	Left	Romania	SUPERLIGA	Unirea Slobozia	Male
Diogo Tomas	CB	Right	Finland	Finnliiga	HJK Helsinki	Male
Pablo Tomeo	CM	Right	Spain	LALIGA HYPERMOTION	CD Mirandés	Male
Noel Törnqvist	GK	Left	Sweden	Allsvenskan	Mjällby AIF	Male
Tomas Totland	RB	Right	Norway	MLS	St. Louis CITY SC	Male
Ben Hamed Touré	ST	Right	Côte d'Ivoire	Ligue 2 BKT	AC Ajaccio	Male
Mohamed Touré	ST	Right	Australia	3F Superliga	Randers FC	Male
Ryley Towler	CB	Left	England	EFL Championship	Portsmouth	Male
Kristijan Trapanovski	LW	Right	North Macedonia	Scottish Prem	Dundee United	Male
Tristán	GK	Right	Spain	LALIGA HYPERMOTION	Granada CF	Male
Nick Tsaroulla	LB	Left	Cyprus	EFL League Two	Notts County	Male
Antonis Tsiftsis	GK	Right	Greece	Hellas Liga	PAOK FC	Male
Grigore Turda	CB	Right	Romania	SUPERLIGA	FC Gloria Buzău	Male
Ed Turns	CB	Left	Wales	Premier League	Brighton	Male
Henrik Udahl	ST	Right	Norway	Eliteserien	HamKam Fotball	Male
Oğulcan Ülgün	CDM	Right	Turkey	Trendyol Süper Lig	Konyaspor	Male
Dario Ulrich	RM	Right	Switzerland	CSSL	FC Luzern	Male
Dan Peter Ulvestad	CB	Right	Norway	Eliteserien	Kristiansund BK	Male
Tomislav Uskok	CB	Right	Australia	A-League	Macarthur FC	Male
Ely Valderrey	LM	Right	Venezuela	Sudamericana	Metropolitanos	Male
Gastón Valles	ST	Left	Uruguay	LALIGA HYPERMOTION	FC Cartagena	Male
Koen Van Langendonck	GK	Right	Belgium	1A Pro League	KVC Westerlo	Male
Éric Vandenabeele	CB	Right	France	Ligue 2 BKT	Rodez AF	Male
Jeisson Vargas	CAM	Right	Chile	Libertadores	Huachipato	Male
Obed Vargas	CM	Right	Mexico	MLS	Sounders FC	Male
Ricardinho	RB	Right	Portugal	SUPERLIGA	FC Petrolul	Male
Harry Vaughan	LM	Right	Republic of Ireland	EFL Championship	Hull City	Male
Eric Veiga	LB	Left	Luxembourg	Liga Portugal	AVS Futebol SAD	Male
Igor Vekič	GK	Right	Slovenia	3F Superliga	Vejle Boldklub	Male
Josh Vela	CM	Right	England	EFL League Two	Carlisle United	Male
Samuel Velásquez	LB	Left	Colombia	Liga Colombia	Atl. Nacional	Male
Jhon Vélez	CM	Right	Colombia	Libertadores	Junior	Male
Stefan Velkov	CB	Right	Bulgaria	3F Superliga	Vejle Boldklub	Male
Nishan Velupillay	LM	Right	Australia	A-League	Melb. Victory	Male
Fredy Vera	RM	Right	Paraguay	Primera División	Ind. Rivadavia	Male
Matthias Verreth	CAM	Right	Belgium	Serie BKT	Brescia	Male
Gaute Vetti	CM	Right	Norway	Eliteserien	FK Bodø/Glimt	Male
Mauro Vigorito	GK	Right	Italy	Serie A Enilive	Como	Male
Alexis Villalba	CB	Right	Paraguay	Sudamericana	Sportivo Luqueño	Male
Miki Villar	RM	Right	Spain	PKO BP Ekstraklasa	Jagiellonia	Male
Sam Vokes	ST	Right	Wales	EFL League One	Wycombe	Male
Leonardo Vonić	ST	Right	Croatia	3. Liga	Rot-Weiss Essen	Male
Luka Vrbančić	CM	Right	Croatia	Liga Hrvatska	Dinamo Zagreb	Male
Andrija Vukčević	LB	Left	Montenegro	LALIGA HYPERMOTION	FC Cartagena	Male
Luka Vušković	CB	Right	Croatia	1A Pro League	KVC Westerlo	Male
Ben Waine	ST	Right	New Zealand	EFL League One	Mansfield Town	Male
Tim Waker	LB	Right	Sweden	Allsvenskan	Brommapojkarna	Male
Jamie Walker	CAM	Right	Scotland	EFL League Two	Bradford City	Male
Michał Walski	CDM	Right	Poland	PKO BP Ekstraklasa	Puszcza	Male
Wang Gang	RB	Right	China PR	CSL	Beijing FC	Male
Grant Ward	CM	Right	England	EFL League One	Bristol Rovers	Male
Tennai Watson	RB	Right	England	EFL League One	Charlton Ath	Male
Tony Watt	ST	Right	Scotland	Scottish Prem	Motherwell	Male
Diego Wayar	CDM	Right	Bolivia	Libertadores	The Strongest	Male
Jensen Weir	CM	Right	England	EFL League One	Wigan Athletic	Male
Sem Westerveld	GK	Right	Spain	Eredivisie	AZ	Male
Ethan Wheatley	ST	Right	England	Premier League	Man Utd	Male
David Wheeler	RM	Right	England	EFL League One	Wycombe	Male
Ben Whitfield	RM	Right	England	EFL League One	Burton Albion	Male
Eirik Wichne	RB	Right	Norway	Eliteserien	Sarpsborg 08	Male
Ben Wiles	CM	Right	England	EFL League One	Huddersfield	Male
Brynjólfur Willumsson	ST	Right	Iceland	Eredivisie	FC Groningen	Male
James Wilson	CB	Right	Wales	EFL League One	Bristol Rovers	Male
Freddy Winsth	RB	Right	Sweden	Allsvenskan	IFK Värnamo	Male
Nils Winter	RB	Right	Germany	3. Liga	Aleman. Aachen	Male
Frederik Winther	CB	Left	Denmark	Allsvenskan	Hammarby IF	Male
Casper Winther	CM	Right	Denmark	3F Superliga	Lyngby BK	Male
Owen Wolff	CDM	Right	United States	MLS	Austin FC	Male
Jojo Wollacott	GK	Right	Ghana	EFL League One	Crawley Town	Male
Bartosz Wolski	CDM	Right	Poland	PKO BP Ekstraklasa	Motor Lublin	Male
Ryan Woods	CM	Right	England	EFL League One	Exeter City	Male
Akil Wright	CB	Right	England	Scottish Prem	Ross County	Male
Drey Wright	RM	Right	England	Scottish Prem	St. Johnstone	Male
Redon Xhixha	ST	Right	Albania	Liga Azerbaijan	Qarabağ FK	Male
Xu Xin	CDM	Right	China PR	CSL	Shanghai Port FC	Male
Roman Yakuba	CB	Left	Ukraine	PKO BP Ekstraklasa	Puszcza	Male
Yan Dinghao	CM	Right	China PR	CSL	Rongcheng FC	Male
Yang Shuai	CB	Right	China PR	CSL	Rongcheng FC	Male
Joshua Yaro	CB	Right	Ghana	MLS	St. Louis CITY SC	Male
Zeki Yavru	RB	Right	Turkey	Trendyol Süper Lig	Samsunspor	Male
Uğurcan Yazğılı	CB	Right	Turkey	Trendyol Süper Lig	Konyaspor	Male
Emmanuel Yeboah	ST	Right	Ghana	3F Superliga	Vejle Boldklub	Male
Muammer Yıldırım	GK	Left	Turkey	Trendyol Süper Lig	Samsunspor	Male
Aygün Yıldırım	RM	Right	Germany	3. Liga	Arminia Bielefeld	Male
Saku Ylätupa	CAM	Left	Finland	Allsvenskan	Kalmar FF	Male
Kaina Yoshio	CAM	Left	Japan	K League 1	Jeju United	Male
Jake Young	ST	Right	England	EFL League One	Stevenage	Male
Yu In Soo	RB	Right	Korea Republic	K League 1	Gangwon FC	Male
Yu Kang Hyun	ST	Right	Korea Republic	K League 1	Gimcheon Sangmu	Male
Danijel Zagorac	GK	Right	Croatia	Liga Hrvatska	Dinamo Zagreb	Male
Yoram Zague	RB	Right	France	Ligue 1 McDonald's	Paris SG	Male
Luka Zahović	CAM	Right	Slovenia	PKO BP Ekstraklasa	Górnik Zabrze	Male
David Zalzman	CM	Left	Venezuela	Sudamericana	Metropolitanos	Male
Oliver Zandén	LB	Left	Sweden	3F Superliga	Randers FC	Male
Dominick Zator	RB	Right	Canada	PKO BP Ekstraklasa	Korona Kielce	Male
Gjivai Zechiël	CM	Right	Holland	Eredivisie	Feyenoord	Male
Karim Zedadka	LM	Right	France	Serie BKT	Südtirol	Male
Lequincio Zeefuik	ST	Right	Holland	Eredivisie	AZ	Male
Ajdin Zeljković	ST	Right	Sweden	Allsvenskan	IFK Värnamo	Male
Zhang Linpeng	CB	Right	China PR	CSL	Shanghai Port FC	Male
Ivan Zhelizko	CDM	Right	Ukraine	PKO BP Ekstraklasa	Lechia Gdańsk	Male
Zhong Yihao	LM	Right	China PR	CSL	Henan FC	Male
Théo Zidane	CM	Right	France	LALIGA HYPERMOTION	Córdoba CF	Male
Robin Ziegele	CB	Right	Germany	Bundesliga 2	Jahn Regensburg	Male
Tanguy Zoukrou	CB	Right	France	CSSL	BSC Young Boys	Male
Mateusz Żukowski	RB	Right	Poland	PKO BP Ekstraklasa	Śląsk Wrocław	Male
Alexander Abrahamsson	CB	Right	Sweden	Allsvenskan	Brommapojkarna	Male
Noah Adedeji-Sternberg	LW	Right	Belgium	1A Pro League	KRC Genk	Male
Baba Adeeko	CM	Right	Republic of Ireland	EFL League One	Wigan Athletic	Male
Samuel Adeniran	ST	Left	United States	MLS	Philadelphia	Male
Moïse Adilèhou	CB	Right	Benin	Ligue 2 BKT	Laval MFC	Male
William Agada	ST	Right	Nigeria	MLS	Sporting KC	Male
Federico Aguirre	ST	Right	Argentina	Primera División	Barracas Central	Male
Mattéo Ahlinvi	CDM	Left	Benin	Allsvenskan	Västerås SK	Male
Ahn Tae Hyun	LB	Right	Korea Republic	K League 1	Jeju United	Male
Lucas Akins	ST	Right	Grenada	EFL League One	Mansfield Town	Male
Ali Akman	ST	Right	Turkey	1A Pro League	FCV Dender EH	Male
Michael Akoto	CB	Right	Ghana	3F Superliga	AGF	Male
Waleed Al Ahmed	CB	Right	Saudi Arabia	ROSHN Saudi League	Al Taawoun	Male
Turki Al Ammar	LW	Right	Saudi Arabia	ROSHN Saudi League	Al Qadisiyah	Male
Mohammed Al Fehaid	CM	Right	Saudi Arabia	ROSHN Saudi League	Al Fateh	Male
Alaa Al Hajji	CM	Right	Saudi Arabia	ROSHN Saudi League	Al Wehda	Male
Ahmed Al Kassar	GK	Right	Saudi Arabia	ROSHN Saudi League	Al Qadisiyah	Male
Mukhair Al Rashidi	CB	Right	Saudi Arabia	ROSHN Saudi League	Al Fayha	Male
Mohammed Al Saiari	ST	Right	Saudi Arabia	ROSHN Saudi League	Al Orobah	Male
Rodrigo Alborno	LB	Left	Paraguay	Sudamericana	Sportivo Luqueño	Male
Alcedo	LB	Left	Spain	LALIGA HYPERMOTION	Albacete BP	Male
Ryan Alebiosu	RB	Right	England	1A Pro League	KV Kortrijk	Male
Khusniddin Alikulov	CB	Right	Uzbekistan	Trendyol Süper Lig	Çaykur Rizespor	Male
Ibrahim Aliyu	ST	Right	Nigeria	MLS	Houston Dynamo	Male
Joel Allansson	CM	Right	Sweden	Allsvenskan	Halmstads BK	Male
Pedro Álvarez	CDM	Right	Venezuela	Sudamericana	Dep. La Guaira	Male
William Álvarez	ST	Right	Bolivia	Sudamericana	Nacional Potosí	Male
Hugo Álvarez	LM	Right	Spain	LALIGA EA SPORTS	RC Celta	Male
Gonzalo Álvez	RM	Right	Argentina	Primera División	Ind. Rivadavia	Male
Jonathan Amon	LW	Right	United States	3F Superliga	Lyngby BK	Male
Achille Anani	ST	Right	Côte d'Ivoire	Ligue 2 BKT	Red Star FC	Male
Karoy Anderson	CM	Right	Jamaica	EFL League One	Charlton Ath	Male
Joe Anderson	CB	Left	England	EFL Championship	Sunderland	Male
Tobias Anselm	ST	Right	Austria	Ö. Bundesliga	WSG Tirol	Male
Marvel	CB	Left	Spain	LALIGA HYPERMOTION	Córdoba CF	Male
Irwin Antón	ST	Right	Venezuela	Sudamericana	Metropolitanos	Male
Bill Antonio	RM	Right	Zimbabwe	1A Pro League	KV Mechelen	Male
Brian Anunga	CDM	Right	Cameroon	MLS	Nashville SC	Male
Paul Arano	LM	Left	Bolivia	Sudamericana	Real Tomayapo	Male
Musa Araz	CM	Left	Switzerland	CSSL	FC Winterthur	Male
Maximilian Arfsten	RM	Left	United States	MLS	Columbus Crew	Male
Onur Arı	ST	Left	Turkey	Trendyol Süper Lig	Hatayspor	Male
Jack Armer	LB	Left	Scotland	EFL League One	Burton Albion	Male
Luke Armstrong	ST	Right	England	EFL League Two	Carlisle United	Male
Ömürcan Artan	RB	Right	Turkey	Trendyol Süper Lig	Gaziantep	Male
Rocco Ascone	CM	Left	France	3F Superliga	FC Nordsjælland	Male
Harrison Ashby	RB	Right	Scotland	EFL Championship	QPR	Male
Zac Ashworth	LB	Left	Wales	EFL League One	Blackpool	Male
Ahmed Asiri	CB	Right	Saudi Arabia	ROSHN Saudi League	Al Riyadh	Male
Jaider Asprilla	LM	Left	Colombia	Liga Colombia	Atl. Nacional	Male
Jonathan Aspropotamitis	CB	Right	Australia	K League 1	Pohang Steelers	Male
Ryan Astley	CB	Right	Wales	Scottish Prem	Dundee FC	Male
Abdullah Ateef	CDM	Right	Saudi Arabia	ROSHN Saudi League	Al Ahli	Male
Axel Atum	RM	Left	Argentina	Libertadores	Estudiantes	Male
Sondre Auklend	CM	Right	Norway	Eliteserien	FK Bodø/Glimt	Male
Leon Avdullahu	CDM	Right	Switzerland	CSSL	FC Basel 1893	Male
Yavuz Aygün	GK	Right	Turkey	Trendyol Süper Lig	Konyaspor	Male
Víctor Aznar	GK	Right	Brazil	LALIGA HYPERMOTION	Cádiz CF	Male
Ahmed Ba Masoud	LB	Left	Saudi Arabia	ROSHN Saudi League	Al Ittihad	Male
Dorian Babunski	ST	Right	North Macedonia	CSSL	GC Zürich	Male
Josef Brian Baccay	LB	Left	Norway	Eliteserien	Odds BK	Male
Tobias Bach	LM	Left	Denmark	3F Superliga	AGF	Male
Anders Bærtelsen	CB	Right	Denmark	Eliteserien	FK Haugesund	Male
Nicolás Baeza	LB	Left	Chile	Sudamericana	Everton	Male
Joel Bagan	LB	Left	Republic of Ireland	EFL Championship	Cardiff City	Male
Elkan Baggott	CB	Left	Indonesia	EFL League One	Blackpool	Male
Florian Bähr	LB	Left	Germany	3. Liga	1860 München	Male
Mateo Bajamich	ST	Right	Argentina	Primera División	Atlético Tucumán	Male
Esmir Bajraktarevic	CAM	Left	United States	MLS	New England	Male
Tyreeq Bakinson	CM	Right	England	EFL League One	Wycombe	Male
Monsef Bakrar	ST	Right	Algeria	MLS	New York City FC	Male
Álex Balboa	CM	Right	Equatorial Guinea	Eredivisie	Almere City FC	Male
Ibrahima Baldé	RW	Right	France	Ligue 2 BKT	Rodez AF	Male
Michael Baldisimo	CDM	Right	Canada	MLS	SJ Earthquakes	Male
Andri Fannar Baldursson	CDM	Right	Iceland	Allsvenskan	IF Elfsborg	Male
David Ball	ST	Right	England	A-League	Well. Phoenix	Male
Saad Balobaid	LB	Left	Saudi Arabia	ROSHN Saudi League	Al Ahli	Male
Ahmed Bani	CAM	Left	Romania	SUPERLIGA	FC Dinamo 1948	Male
Scott Banks	RM	Left	Scotland	Bundesliga	FC St. Pauli	Male
Ryan Barnett	RB	Right	England	EFL League One	Wrexham	Male
Luis Barraza	GK	Right	United States	MLS	New York City FC	Male
Cristopher Barrera	RM	Right	Chile	Sudamericana	Coquimbo Unido	Male
Paddy Barrett	CB	Right	Republic of Ireland	SSE Airtricity PD	Shelbourne	Male
Djakaría Barro	CM	Right	Côte d'Ivoire	LALIGA HYPERMOTION	FC Cartagena	Male
Alex Bass	GK	Right	England	EFL League Two	Notts County	Male
Jacob Bedeau	CB	Left	Grenada	EFL League Two	Notts County	Male
Semi Belkahia	CB	Right	Germany	3. Liga	Arminia Bielefeld	Male
Jonathan Bell	CB	Left	Jamaica	MLS	Sounders FC	Male
Mimeirhel Benita	RB	Right	Holland	Eredivisie	Heracles Almelo	Male
Charlison Benschop	ST	Right	Curaçao	3. Liga	Aleman. Aachen	Male
Josh Benson	CM	Right	England	EFL League One	Barnsley	Male
Daniel Benzar	RW	Right	Romania	SUPERLIGA	FC Gloria Buzău	Male
Romario Benzar	RB	Right	Romania	SUPERLIGA	FC Botoșani	Male
Théo Berdayes	RM	Right	Switzerland	CSSL	FC Sion	Male
Sebastian Bergier	ST	Right	Poland	PKO BP Ekstraklasa	GKS Katowice	Male
Fredrik Berglie	CB	Right	Norway	Eliteserien	Sandefjord	Male
Jacob Bergström	ST	Right	Sweden	Allsvenskan	Mjällby AIF	Male
Sebastian Berhalter	CM	Right	United States	MLS	Whitecaps FC	Male
Nicolò Bertola	CB	Right	Italy	Serie BKT	Spezia	Male
Dino Beširović	CAM	Right	Portugal	Allsvenskan	AIK	Male
Florian Bianchini	RM	Right	France	EFL Championship	Swansea City	Male
Ionuț Biceanu	CM	Right	Romania	SUPERLIGA	FC Hermannstadt	Male
Nicholas Bilokapic	GK	Right	Australia	EFL League One	Peterborough	Male
Egzon Binaku	LB	Left	Albania	Allsvenskan	GAIS	Male
Nicolas Binder	ST	Right	Austria	Ö. Bundesliga	Austria Klagenfurt	Male
Alexander Bittroff	CB	Right	Germany	Bundesliga 2	Jahn Regensburg	Male
Emmanuel Biumla	CB	Right	France	Ligue 1 McDonald's	Angers SCO	Male
Eric Björkander	CB	Right	Sweden	Allsvenskan	Brommapojkarna	Male
Adrian Błąd	RM	Right	Poland	PKO BP Ekstraklasa	GKS Katowice	Male
Jakov Blagaić	CAM	Right	Croatia	PKO BP Ekstraklasa	Puszcza	Male
Frazer Blake-Tracy	CB	Left	England	EFL League One	Mansfield Town	Male
Dawid Błanik	LM	Right	Poland	PKO BP Ekstraklasa	Korona Kielce	Male
Tom Boere	ST	Right	Holland	Eredivisie	NAC Breda	Male
Omar Bogle	ST	Left	England	EFL League Two	Crewe Alexandra	Male
Mathis Bolly	LM	Right	Côte d'Ivoire	Eliteserien	Lillestrøm SK	Male
Noah Botić	ST	Right	Australia	A-League	Western United	Male
Ousseni Bouda	LM	Right	Burkina Faso	MLS	SJ Earthquakes	Male
Nassim Boujellab	CAM	Right	Morocco	3. Liga	Arminia Bielefeld	Male
Teddy Boulhendi	GK	Right	Algeria	Ligue 1 McDonald's	OGC Nice	Male
